,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,label
nb_348235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.0625,0.01875,0.0,0.0,0.0,0.0,0.0,0.9,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125,0.01875,0.0,0.0,0.0,0.9,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,0
nb_1063377,0.4727272727272727,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.4909090909090909,0.0,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.011494252873563218,0.011494252873563218,0.0,0.022988505747126436,0.2988505747126437,0.0,0.0,0.011494252873563218,0.0,0.011494252873563218,0.632183908045977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.052336448598130844,0.041121495327102804,0.0,0.003738317757009346,0.10654205607476636,0.0,0.0,0.013084112149532711,0.0,0.001869158878504673,0.7813084112149533,0.024271844660194174,0.2669902912621359,0.4223300970873786,0.0,0.0,0.0,0.2087378640776699,0.0,0.009708737864077669,0.06796116504854369,0.45,0.05,0.0,0.0,0.0,0.5,0.034482758620689655,0.2988505747126437,0.011494252873563218,0.0,0.022988505747126436,0.632183908045977,0.0,0.0,0.46511627906976744,0.0,0.0,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.375,0.5625,0.056074766355140186,0.10654205607476636,0.041121495327102804,0.0,0.014953271028037384,0.7813084112149533,0.2912621359223301,0.4223300970873786,0.2087378640776699,0.0,0.07766990291262135,1
nb_133540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.53125,0.03125,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.002857142857142857,0.0,0.04,0.02857142857142857,0.0,0.0,0.9171428571428571,0.1111111111111111,0.0,0.037037037037037035,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.029411764705882353,0.5,0.0,0.0,0.029411764705882353,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.7142857142857143,0.011428571428571429,0.04285714285714286,0.0,0.0,0.02857142857142857,0.9171428571428571,0.1111111111111111,0.6296296296296297,0.0,0.0,0.25925925925925924,0
nb_259182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901,0.07920792079207921,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.8712871287128713,0.05,0.05,0.65,0.05,0.05,0.0,0.05,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019801980198019802,0.0891089108910891,0.019801980198019802,0.0,0.0,0.8712871287128713,0.1,0.7,0.1,0.0,0.1,2
nb_737658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02390438247011952,0.0,0.0,0.04183266932270916,0.0,0.0,0.02390438247011952,0.043824701195219126,0.0,0.0,0.8665338645418327,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.08333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.7333333333333333,0.06573705179282868,0.02390438247011952,0.0,0.0,0.043824701195219126,0.8665338645418327,0.46153846153846156,0.15384615384615385,0.0,0.0,0.38461538461538464,0
nb_379966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.0,0.06557377049180328,0.08196721311475409,0.0,0.06557377049180328,0.0,0.0,0.0,0.7049180327868853,0.11428571428571428,0.0,0.14285714285714285,0.11428571428571428,0.0,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.5909090909090909,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.14754098360655737,0.08196721311475409,0.0,0.0,0.7049180327868853,0.11428571428571428,0.2571428571428571,0.6285714285714286,0.0,0.0,0
nb_1176096,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.02631578947368421,0.0,0.0,0.0,0.07894736842105263,0.0,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.039473684210526314,0.75,0.0,0.14814814814814814,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.0,0.0,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.25,0.5,0.0,0.0,0.0,0.25,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.7142857142857143,0.02631578947368421,0.11842105263157894,0.02631578947368421,0.0,0.07894736842105263,0.75,0.14814814814814814,0.48148148148148145,0.07407407407407407,0.037037037037037035,0.25925925925925924,2
nb_270224,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.07317073170731707,0.0,0.0,0.024390243902439025,0.0975609756097561,0.0,0.0,0.6829268292682927,0.18181818181818182,0.13636363636363635,0.0,0.13636363636363635,0.0,0.045454545454545456,0.18181818181818182,0.0,0.0,0.3181818181818182,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.12195121951219512,0.024390243902439025,0.07317073170731707,0.0,0.0975609756097561,0.6829268292682927,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.0,0.3181818181818182,1
nb_173279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.40476190476190477,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0049261083743842365,0.0,0.007389162561576354,0.06157635467980296,0.0,0.009852216748768473,0.019704433497536946,0.0024630541871921183,0.0024630541871921183,0.8916256157635468,0.07692307692307693,0.0,0.6461538461538462,0.06153846153846154,0.015384615384615385,0.0,0.046153846153846156,0.0,0.015384615384615385,0.13846153846153847,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.3695652173913043,0.0,0.0,0.0,0.6304347826086957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.007389162561576354,0.07142857142857142,0.007389162561576354,0.0,0.022167487684729065,0.8916256157635468,0.07692307692307693,0.7076923076923077,0.06153846153846154,0.0,0.15384615384615385,1
nb_890152,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.04950495049504951,0.04950495049504951,0.0,0.0594059405940594,0.0297029702970297,0.0,0.0,0.801980198019802,0.20689655172413793,0.10344827586206896,0.2413793103448276,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.0,0.1875,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0594059405940594,0.10891089108910891,0.0,0.0,0.0297029702970297,0.801980198019802,0.3103448275862069,0.5517241379310345,0.0,0.0,0.13793103448275862,0
