name,cell,line,category,text
nb_1063377,1.0,1,other,import pandas as pd
nb_1063377,1.0,2,other,import time
nb_1063377,1.0,3,other,import numpy as np
nb_1063377,1.0,4,postprocessing,"from sklearn.model_selection import train_test_split, StratifiedKFold, KFold"
nb_1063377,1.0,5,other,
nb_1063377,1.0,6,preprocessing,"from sklearn.feature_extraction.text import TfidfVectorizer, CountVectorizer"
nb_1063377,1.0,7,other,import random
nb_1063377,1.0,8,other,from sklearn import preprocessing
nb_1063377,1.0,9,other,
nb_1063377,1.0,10,other,import gc
nb_1063377,1.0,11,other,"from scipy.stats import skew, boxcox"
nb_1063377,1.0,12,other,
nb_1063377,1.0,13,other,from scipy import sparse
nb_1063377,1.0,14,postprocessing,from sklearn.metrics import log_loss
nb_1063377,1.0,15,other,from datetime import datetime
nb_1063377,1.0,16,other,
nb_1063377,1.0,17,other,import matplotlib.pyplot as plt
nb_1063377,1.0,18,other,import seaborn as sns
nb_1063377,1.0,19,other,%matplotlib inline
nb_1063377,1.0,20,other,
nb_1063377,1.0,21,other,seed = 2017
nb_1063377,2.0,1,other,from keras.models import Sequential
nb_1063377,2.0,2,other,"from keras.layers import Dense, Dropout, Activation"
nb_1063377,2.0,3,other,from keras.layers.normalization import BatchNormalization
nb_1063377,2.0,4,other,"from keras.layers.advanced_activations import PReLU,LeakyReLU,ELU,ParametricSoftplus,ThresholdedReLU,SReLU"
nb_1063377,2.0,5,other,"from keras.callbacks import EarlyStopping, ModelCheckpoint"
nb_1063377,2.0,6,other,from keras import backend as K
nb_1063377,2.0,7,other,"from keras.optimizers import SGD,Nadam"
nb_1063377,2.0,8,other,"from keras.regularizers import WeightRegularizer, ActivityRegularizer,l2, activity_l2"
nb_1063377,2.0,9,other,from keras.utils.np_utils import to_categorical
nb_1063377,3.0,1,create,train_y = np.ravel(pd.read_csv('../input/' + 'labels_BrandenMurray.csv'))
nb_1063377,3.0,2,other,train_y = to_categorical(train_y)
nb_1063377,3.0,3,other,
nb_1063377,3.0,4,other,"names = ['low_0','medium_0','high_0',"
nb_1063377,3.0,5,other,"        'low_1','medium_1','high_1',"
nb_1063377,3.0,6,other,"        'low_2','medium_2','high_2',"
nb_1063377,3.0,7,other,"        'low_3','medium_3','high_3',"
nb_1063377,3.0,8,other,"        'low_4','medium_4','high_4',"
nb_1063377,3.0,9,other,"        'low_5','medium_5','high_5',"
nb_1063377,3.0,10,other,"        'low_6','medium_6','high_6',"
nb_1063377,3.0,11,other,"        'low_7','medium_7','high_7',"
nb_1063377,3.0,12,other,"        'low_8','medium_8','high_8',"
nb_1063377,3.0,13,other,"        'low_9','medium_9','high_9']"
nb_1063377,3.0,14,other,
nb_1063377,3.0,15,other,"data_path = ""../2ndlast/"""
nb_1063377,3.0,16,other,total_col = 0
nb_1063377,4.0,1,other,# RFC 1st level 
nb_1063377,4.0,2,other,file_train      = 'train_blend_RFC_entropy_last_2017-04-21-11-06' + '.csv'
nb_1063377,4.0,3,other,file_test_mean  = 'test_blend_RFC_entropy_mean_last_2017-04-21-11-06' + '.csv'
nb_1063377,4.0,4,other,
nb_1063377,4.0,5,create,"train_rfc = pd.read_csv(data_path + file_train,      header = None)"
nb_1063377,4.0,6,create,"test_rfc  = pd.read_csv(data_path + file_test_mean,  header = None)"
nb_1063377,4.0,7,other,
nb_1063377,4.0,8,other,
nb_1063377,4.0,9,print,n_column = train_rfc.shape[1]
nb_1063377,4.0,10,other,total_col += n_column
nb_1063377,4.0,11,other,
nb_1063377,4.0,12,print,train_rfc.columns = ['rfc_' + x for x in names[:n_column]]
nb_1063377,4.0,13,print,test_rfc.columns  = ['rfc_' + x for x in names[:n_column]]
nb_1063377,4.0,14,other,
nb_1063377,4.0,15,other,
nb_1063377,4.0,16,cleaning,"print train_rfc.iloc[:5,:3]"
nb_1063377,4.0,17,other,
nb_1063377,4.0,18,cleaning,"print test_rfc.iloc[:5,:3]"
nb_1063377,5.0,1,other,# LR 1st level
nb_1063377,5.0,2,other,file_train      = 'train_blend_LR_last_2017-04-21-11-16' + '.csv'
nb_1063377,5.0,3,other,file_test_mean  = 'test_blend_LR_mean_last_2017-04-21-11-16' + '.csv'
nb_1063377,5.0,4,other,
nb_1063377,5.0,5,create,"train_LR = pd.read_csv(data_path + file_train, header = None)"
nb_1063377,5.0,6,create,"test_LR  = pd.read_csv(data_path + file_test_mean, header = None)"
nb_1063377,5.0,7,other,
nb_1063377,5.0,8,print,n_column = train_LR.shape[1]
nb_1063377,5.0,9,other,total_col += n_column
nb_1063377,5.0,10,other,
nb_1063377,5.0,11,print,train_LR.columns = ['LR_' + x for x in names[:n_column]]
nb_1063377,5.0,12,print,test_LR.columns  = ['LR_' + x for x in names[:n_column]]
nb_1063377,5.0,13,other,
nb_1063377,5.0,14,cleaning,"print train_LR.iloc[:5,:3]"
nb_1063377,5.0,15,cleaning,"print test_LR.iloc[:5,:3]"
nb_1063377,6.0,1,other,# ET 1st level
nb_1063377,6.0,2,other,file_train      = 'train_blend_ET_entropy_last_2017-04-21-11-48' + '.csv'
nb_1063377,6.0,3,other,file_test_mean  = 'test_blend_ET_entropy_mean_last_2017-04-21-11-48' + '.csv'
nb_1063377,6.0,4,other,
nb_1063377,6.0,5,create,"train_ET = pd.read_csv(data_path + file_train,      header = None)"
nb_1063377,6.0,6,create,"test_ET  = pd.read_csv(data_path + file_test_mean,  header = None)"
nb_1063377,6.0,7,other,
nb_1063377,6.0,8,print,n_column = train_ET.shape[1]
nb_1063377,6.0,9,other,total_col += n_column
nb_1063377,6.0,10,other,
nb_1063377,6.0,11,print,train_ET.columns = ['ET_' + x for x in names[:n_column]]
nb_1063377,6.0,12,print,test_ET.columns  = ['ET_' + x for x in names[:n_column]]
nb_1063377,6.0,13,other,
nb_1063377,6.0,14,cleaning,"print train_ET.iloc[:5,:3]"
nb_1063377,6.0,15,cleaning,"print test_ET.iloc[:5,:3]"
nb_1063377,7.0,1,other,# KNN 1st level
nb_1063377,7.0,2,other,file_train      = 'train_blend_KNN_uniform_last_2017-04-21-13-53' + '.csv'
nb_1063377,7.0,3,other,file_test_mean  = 'test_blend_KNN_uniform_mean_last_2017-04-21-13-53' + '.csv'
nb_1063377,7.0,4,other,
nb_1063377,7.0,5,other,
nb_1063377,7.0,6,create,"train_KNN = pd.read_csv(data_path + file_train,      header = None)"
nb_1063377,7.0,7,create,"test_KNN  = pd.read_csv(data_path + file_test_mean,  header = None)"
nb_1063377,7.0,8,other,
nb_1063377,7.0,9,other,
nb_1063377,7.0,10,print,n_column = train_KNN.shape[1]
nb_1063377,7.0,11,other,total_col += n_column
nb_1063377,7.0,12,other,
nb_1063377,7.0,13,print,train_KNN.columns      = ['KNN_uniform_' + x for x in names[:n_column]]
nb_1063377,7.0,14,print,test_KNN.columns  = ['KNN_uniform_' + x for x in names[:n_column]]
nb_1063377,7.0,15,other,
nb_1063377,7.0,16,cleaning,"print train_KNN.iloc[:5,:3]"
nb_1063377,7.0,17,cleaning,"print test_KNN.iloc[:5,:3]"
nb_1063377,8.0,1,other,# TFFM 1st level 0322
nb_1063377,8.0,2,other,file_train      = 'train_blend_FM_BM_0322_2017-03-27-04-35' + '.csv'
nb_1063377,8.0,3,other,file_test_mean  = 'test_blend_FM_mean_BM_0322_2017-03-27-04-35' + '.csv'
nb_1063377,8.0,4,other,
nb_1063377,8.0,5,create,"train_FM_0322      = pd.read_csv(data_path + file_train,      header = None)"
nb_1063377,8.0,6,create,"test_FM_mean_0322  = pd.read_csv(data_path + file_test_mean,  header = None)"
nb_1063377,8.0,7,other,
nb_1063377,8.0,8,print,n_column = train_FM_0322.shape[1]
nb_1063377,8.0,9,other,total_col += n_column
nb_1063377,8.0,10,other,
nb_1063377,8.0,11,print,train_FM_0322.columns      = ['FM_0322_' + x for x in names[:n_column]]
nb_1063377,8.0,12,print,test_FM_mean_0322.columns  = ['FM_0322_' + x for x in names[:n_column]]
nb_1063377,8.0,13,other,
nb_1063377,8.0,14,cleaning,"print train_FM_0322.iloc[:5,:3]"
nb_1063377,8.0,15,cleaning,"print test_FM_mean_0322.iloc[:5,:3]"
nb_1063377,9.0,1,other,# Multinomial Naive Bayes 1st level
nb_1063377,9.0,2,other,file_train      = 'train_blend_MNB_BM_MB_last_2017-04-21-14-02' + '.csv'
nb_1063377,9.0,3,other,file_test_mean  = 'test_blend_MNB_mean_BM_MB_last_2017-04-21-14-02' + '.csv'
nb_1063377,9.0,4,other,
nb_1063377,9.0,5,other,
nb_1063377,9.0,6,create,"train_MNB      = pd.read_csv(data_path + file_train,      header = None)"
nb_1063377,9.0,7,create,"test_MNB_mean  = pd.read_csv(data_path + file_test_mean,  header = None)"
nb_1063377,9.0,8,other,
nb_1063377,9.0,9,other,
nb_1063377,9.0,10,print,n_column = train_MNB.shape[1]
nb_1063377,9.0,11,other,total_col += n_column
nb_1063377,9.0,12,other,
nb_1063377,9.0,13,print,train_MNB.columns      = ['MNB_' + x for x in names[:n_column]]
nb_1063377,9.0,14,print,test_MNB_mean.columns  = ['MNB_' + x for x in names[:n_column]]
nb_1063377,9.0,15,other,
nb_1063377,9.0,16,cleaning,"print train_MNB.iloc[:5,:3]"
nb_1063377,9.0,17,cleaning,"print test_MNB_mean.iloc[:5,:3]"
nb_1063377,10.0,1,other,# TSNE 1st level
nb_1063377,10.0,2,other,
nb_1063377,10.0,3,other,file_train = 'X_train_tsne_BM_MB_add_desc_2017-03-18-17-14' + '.csv'
nb_1063377,10.0,4,other,file_test  = 'X_test_tsne_BM_MB_add_desc_2017-03-18-17-14' + '.csv'
nb_1063377,10.0,5,other,
nb_1063377,10.0,6,create,"train_tsne = pd.read_csv(data_path + file_train, header = None)"
nb_1063377,10.0,7,create,"test_tsne  = pd.read_csv(data_path + file_test, header = None)"
nb_1063377,10.0,8,other,
nb_1063377,10.0,9,other,
nb_1063377,10.0,10,print,n_column = train_tsne.shape[1]
nb_1063377,10.0,11,other,total_col += n_column
nb_1063377,10.0,12,other,
nb_1063377,10.0,13,print,"train_tsne.columns = ['tsne_0', 'tsne_1', 'tsne_2']"
nb_1063377,10.0,14,print,"test_tsne.columns  = ['tsne_0', 'tsne_1', 'tsne_2']"
nb_1063377,10.0,15,other,
nb_1063377,10.0,16,other,
nb_1063377,10.0,17,cleaning,"print train_tsne.iloc[:5,:3]"
nb_1063377,10.0,18,cleaning,"print test_tsne.iloc[:5,:3]"
nb_1063377,11.0,1,other,# TSNE 1st level 0322
nb_1063377,11.0,2,other,
nb_1063377,11.0,3,other,file_train = 'X_train_tsne_BM_0322_2017-03-26-16-33' + '.csv'
nb_1063377,11.0,4,other,file_test  = 'X_test_tsne_BM_0322_2017-03-26-16-33' + '.csv'
nb_1063377,11.0,5,other,
nb_1063377,11.0,6,create,"train_tsne_0322 = pd.read_csv(data_path + file_train, header = None)"
nb_1063377,11.0,7,create,"test_tsne_0322  = pd.read_csv(data_path + file_test, header = None)"
nb_1063377,11.0,8,other,
nb_1063377,11.0,9,print,n_column = train_tsne_0322.shape[1]
nb_1063377,11.0,10,other,total_col += n_column
nb_1063377,11.0,11,other,
nb_1063377,11.0,12,print,"train_tsne_0322.columns = ['tsne_0_0322', 'tsne_1_0322', 'tsne_2_0322']"
nb_1063377,11.0,13,print,"test_tsne_0322.columns  = ['tsne_0_0322', 'tsne_1_0322', 'tsne_2_0322']"
nb_1063377,11.0,14,other,
nb_1063377,11.0,15,cleaning,"print train_tsne_0322.iloc[:5,:3]"
nb_1063377,11.0,16,cleaning,"print test_tsne_0322.iloc[:5,:3]"
nb_1063377,12.0,1,other,# XGB 1st level
nb_1063377,12.0,2,other,
nb_1063377,12.0,3,other,file_train     = 'train_blend_XGB_BM_2bagging_CV_MS_52571_2017-04-20-23-06' + '.csv'
nb_1063377,12.0,4,other,file_test_mean = 'test_blend_XGB_BM_2bagging_CV_MS_52571_2017-04-20-23-06' + '.csv'
nb_1063377,12.0,5,other,
